step 6400, idx 4768, training accuracy 0.59375, cross entropy is 1.27867(0.016 sec/batch=32 images) 
step 6500, idx 7968, training accuracy 0.53125, cross entropy is 1.37947(0.016 sec/batch=32 images) 
step 6600, idx 11168, training accuracy 0.5, cross entropy is 1.27324(0.016 sec/batch=32 images) 
step 6700, idx 14368, training accuracy 0.53125, cross entropy is 1.33368(0.016 sec/batch=32 images) 
step 6800, idx 17568, training accuracy 0.5625, cross entropy is 1.34629(0.016 sec/batch=32 images) 
step 6900, idx 20768, training accuracy 0.71875, cross entropy is 0.814239(0.016 sec/batch=32 images) 
step 7000, idx 23968, training accuracy 0.5, cross entropy is 1.42142(0.016 sec/batch=32 images) 
step 7100, idx 27168, training accuracy 0.5625, cross entropy is 1.40921(0.016 sec/batch=32 images) 
step 7200, idx 30368, training accuracy 0.59375, cross entropy is 1.22449(0.017 sec/batch=32 images) 
step 7300, idx 33568, training accuracy 0.5, cross entropy is 1.48995(0.016 sec/batch=32 images) 
step 7400, idx 36768, training accuracy 0.71875, cross entropy is 0.915618(0.016 sec/batch=32 images) 
step 7500, idx 39968, training accuracy 0.625, cross entropy is 1.289(0.016 sec/batch=32 images) 
step 7600, idx 43168, training accuracy 0.5625, cross entropy is 1.18467(0.016 sec/batch=32 images) 
step 7700, idx 46368, training accuracy 0.53125, cross entropy is 1.05358(0.016 sec/batch=32 images) 
step 7800, idx 49568, training accuracy 0.625, cross entropy is 1.2219(0.017 sec/batch=32 images) 
step 7900, idx 2752, training accuracy 0.5, cross entropy is 1.41533(0.016 sec/batch=32 images) 
step 8000, idx 5952, training accuracy 0.71875, cross entropy is 0.905312(0.016 sec/batch=32 images) 
step 8100, idx 9152, training accuracy 0.46875, cross entropy is 1.53582(0.017 sec/batch=32 images) 
step 8200, idx 12352, training accuracy 0.4375, cross entropy is 1.52279(0.016 sec/batch=32 images) 
step 8300, idx 15552, training accuracy 0.5625, cross entropy is 1.29191(0.016 sec/batch=32 images) 
step 8400, idx 18752, training accuracy 0.5, cross entropy is 1.39994(0.016 sec/batch=32 images) 
step 8500, idx 21952, training accuracy 0.375, cross entropy is 1.88608(0.016 sec/batch=32 images) 
step 8600, idx 25152, training accuracy 0.65625, cross entropy is 1.10039(0.016 sec/batch=32 images) 
step 8700, idx 28352, training accuracy 0.40625, cross entropy is 1.6089(0.016 sec/batch=32 images) 
